Round,loss,alive,min_battery,tau_round_s,tau_status,tau_a2r,tau_r2r,tau_r2g,tau_comp,tau_svd,tau_cumul_s,avg_payload_kb,payload_cumul_kb,e_total,e_a2r,e_r2r,e_r2g,e_a2r_rx,e_r2r_rx,e_r2g_rx,e_rx,e_comp,e_svd,e_cumul,lambda_e,lambda_tau,objective_loss,physical_joint_cost_round,physical_joint_cost_cumul,joint_cost_round,joint_cost_cumul,server_mix_beta,auv_train_metrics,mAP50-95,mAP50,Prec,Rec,pre_kd_mAP50-95,pre_kd_mAP50,pre_kd_Prec,pre_kd_Rec
0,,28.0,inf,12374.8162,OK,5993.9457,0.0,5993.7936,387.15,0.0,12374.8162,10123.8047,10123.8047,25285.4039,16997.71,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,25285.4039,0.005,0.01,5.3164,250.1752,250.1752,255.4916,255.4916,1.0,{},0.144,0.335,0.514,0.313,,,,
1,5.2966,28.0,inf,12374.8172,OK,5993.9456,0.0,5993.7936,387.15,0.0,24749.6335,10123.8047,20247.6094,25285.5241,16997.8303,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,50570.9279,0.005,0.01,4.6131,250.1758,500.351,254.7889,510.2805,1.0,{},0.1888,0.3702,0.4549,0.337,0.1888,0.3702,0.4549,0.337
2,4.591,28.0,inf,12374.8182,OK,5993.9457,0.0,5993.7936,387.15,0.0,37124.4517,10123.8047,30371.4141,25285.6332,16997.9394,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,75856.5611,0.005,0.01,4.3084,250.1763,750.5273,254.4848,764.7653,1.0,{},0.2298,0.4393,0.5255,0.4188,0.2298,0.4393,0.5255,0.4188
3,4.2911,28.0,inf,12374.8191,OK,5993.9461,0.0,5993.7936,387.15,0.0,49499.2708,10123.8047,40495.2188,25285.6987,16998.0049,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,101142.2598,0.005,0.01,4.1689,250.1767,1000.704,254.3456,1019.1109,1.0,{},0.2564,0.4869,0.5656,0.4522,0.2564,0.4869,0.5656,0.4522
4,4.1447,28.0,inf,12374.8199,OK,5993.9464,0.0,5993.7936,387.15,0.0,61874.0907,10123.8047,50619.0234,25285.7832,16998.0894,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,126428.043,0.005,0.01,4.1083,250.1771,1250.8811,254.2855,1273.3963,1.0,{},0.2703,0.5116,0.6038,0.4768,0.2703,0.5116,0.6038,0.4768
5,4.0914,28.0,inf,12374.8203,OK,5993.9467,0.0,5993.7936,387.15,0.0,74248.911,10123.8047,60742.8281,25285.8609,16998.1671,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,151713.9039,0.005,0.01,4.0211,250.1775,1501.0586,254.1986,1527.595,1.0,{},0.2816,0.5269,0.632,0.4748,0.2816,0.5269,0.632,0.4748
6,4.0032,28.0,inf,12374.8208,OK,5993.9477,0.0,5993.7936,387.15,0.0,86623.7318,10123.8047,70866.6328,25285.9933,16998.2995,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,176999.8972,0.005,0.01,3.9609,250.1782,1751.2368,254.1391,1781.7341,1.0,{},0.2872,0.5393,0.626,0.4942,0.2872,0.5393,0.626,0.4942
7,3.9386,28.0,inf,12374.8215,OK,5993.9493,0.0,5993.7936,387.15,0.0,98998.5534,10123.8047,80990.4375,25286.144,16998.4502,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,202286.0412,0.005,0.01,3.9535,250.1789,2001.4157,254.1324,2035.8664,1.0,{},0.2976,0.5545,0.643,0.5048,0.2976,0.5545,0.643,0.5048
8,3.9357,28.0,inf,12374.8222,OK,5993.9504,0.0,5993.7936,387.15,0.0,111373.3756,10123.8047,91114.2422,25286.2653,16998.5715,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,227572.3065,0.005,0.01,3.8825,250.1795,2251.5953,254.062,2289.9285,1.0,{},0.3058,0.5636,0.6557,0.5115,0.3058,0.5636,0.6557,0.5115
9,3.8586,28.0,inf,12374.8229,OK,5993.9516,0.0,5993.7936,387.15,0.0,123748.1985,10123.8047,101238.0469,25286.3941,16998.7003,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,252858.7005,0.005,0.01,3.836,250.1802,2501.7755,254.0162,2543.9447,1.0,{},0.3122,0.5774,0.6883,0.5146,0.3122,0.5774,0.6883,0.5146
10,3.8199,28.0,inf,12374.8238,OK,5993.9531,0.0,5993.7936,387.15,0.0,136123.0222,10123.8047,111361.8516,25286.5363,16998.8425,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,278145.2368,0.005,0.01,3.7726,250.1809,2751.9564,253.9535,2797.8982,1.0,{},0.3148,0.5858,0.6853,0.537,0.3148,0.5858,0.6853,0.537
11,3.7564,28.0,inf,12374.8246,OK,5993.9534,0.0,5993.7936,387.15,0.0,148497.8469,10123.8047,121485.6562,25286.6306,16998.9368,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,303431.8675,0.005,0.01,3.7804,250.1814,3002.1378,253.9618,3051.8601,1.0,{},0.3229,0.5998,0.7045,0.5391,0.3229,0.5998,0.7045,0.5391
12,3.7575,28.0,inf,12374.8252,OK,5993.9539,0.0,5993.7936,387.15,0.0,160872.6721,10123.8047,131609.4609,25286.7259,16999.0321,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,328718.5934,0.005,0.01,3.7628,250.1819,3252.3197,253.9447,3305.8047,1.0,{},0.3191,0.5897,0.7156,0.5199,0.3191,0.5897,0.7156,0.5199
13,3.745,28.0,inf,12374.8259,OK,5993.9543,0.0,5993.7936,387.15,0.0,173247.498,10123.8047,141733.2656,25286.8615,16999.1677,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,354005.4549,0.005,0.01,3.7275,250.1826,3502.5023,253.91,3559.7148,1.0,{},0.328,0.6071,0.721,0.5426,0.328,0.6071,0.721,0.5426
14,3.708,28.0,inf,12374.8268,OK,5993.955,0.0,5993.7936,387.15,0.0,185622.3248,10123.8047,151857.0703,25287.0119,16999.3181,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,379292.4668,0.005,0.01,3.6887,250.1833,3752.6856,253.872,3813.5868,1.0,{},0.3298,0.6092,0.7239,0.535,0.3298,0.6092,0.7239,0.535
15,3.6701,28.0,inf,12374.8273,OK,5993.9559,0.0,5993.7936,387.15,0.0,197997.1521,10123.8047,161980.875,25287.1601,16999.4663,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,404579.6269,0.005,0.01,3.6439,250.1841,4002.8697,253.828,4067.4148,1.0,{},0.3325,0.6146,0.7192,0.5574,0.3325,0.6146,0.7192,0.5574
16,3.6253,28.0,inf,12374.828,OK,5993.9565,0.0,5993.7936,387.15,0.0,210371.98,10123.8047,172104.6797,25287.2903,16999.5965,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,429866.9172,0.005,0.01,3.6109,250.1847,4253.0544,253.7956,4321.2104,1.0,{},0.3353,0.6196,0.7311,0.557,0.3353,0.6196,0.7311,0.557
17,3.5917,28.0,inf,12374.8286,OK,5993.9568,0.0,5993.7936,387.15,0.0,222746.8086,10123.8047,182228.4844,25287.4292,16999.7354,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,455154.3464,0.005,0.01,3.6108,250.1854,4503.2398,253.7963,4575.0067,1.0,{},0.3362,0.6265,0.7405,0.5646,0.3362,0.6265,0.7405,0.5646
18,3.5955,28.0,inf,12375.0113,OK,5994.0677,0.0,5993.7936,387.15,0.0,235121.8199,10123.8047,192352.2891,25301.3372,17013.6434,0.0,7274.9078,2.2371,0.0,2397.2317,2399.4688,1012.786,0.0,480455.6836,0.005,0.01,3.5642,250.2568,4753.4966,253.821,4828.8277,1.0,{},0.3379,0.6274,0.7344,0.5602,0.3379,0.6274,0.7344,0.5602
19,3.5442,29.0,inf,12374.8292,OK,5994.0675,0.0,5993.7936,387.15,0.0,247496.6491,10123.8047,202476.0938,25924.9246,17622.9165,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,506380.6082,0.005,0.01,3.5394,253.3729,5006.8695,256.9123,5085.74,1.0,{},0.3371,0.627,0.757,0.5454,0.3371,0.627,0.757,0.5454
20,3.5179,29.0,inf,12374.8297,OK,5994.0668,0.0,5993.7936,387.15,0.0,259871.4788,10123.8047,212599.8984,25924.9903,17622.9823,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,532305.5985,0.005,0.01,3.5246,253.3732,5260.2428,256.8978,5342.6378,1.0,{},0.3395,0.6302,0.7437,0.5604,0.3395,0.6302,0.7437,0.5604
21,3.5039,29.0,inf,12374.8302,OK,5994.0661,0.0,5993.7936,387.15,0.0,272246.309,10123.8047,222723.7031,25925.0463,17623.0383,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,558230.6447,0.005,0.01,3.5017,253.3735,5513.6163,256.8752,5599.513,1.0,{},0.3446,0.6377,0.7621,0.5625,0.3446,0.6377,0.7621,0.5625
22,3.4803,29.0,inf,12374.8307,OK,5994.0655,0.0,5993.7936,387.15,0.0,284621.1398,10123.8047,232847.5078,25925.1362,17623.1282,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,584155.7809,0.005,0.01,3.4511,253.374,5766.9903,256.8251,5856.3381,1.0,{},0.3451,0.6411,0.7829,0.5631,0.3451,0.6411,0.7829,0.5631
23,3.4288,29.0,inf,12374.8313,OK,5994.0648,0.0,5993.7936,387.15,0.0,296995.971,10123.8047,242971.3125,25925.1527,17623.1447,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,610080.9337,0.005,0.01,3.4766,253.3741,6020.3644,256.8507,6113.1888,1.0,{},0.3421,0.6378,0.7731,0.5669,0.3421,0.6378,0.7731,0.5669
24,3.4525,29.0,inf,12374.8318,OK,5994.0642,0.0,5993.7936,387.15,0.0,309370.8029,10123.8047,253095.1172,25925.1857,17623.1777,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,636006.1194,0.005,0.01,3.4347,253.3742,6273.7386,256.8089,6369.9977,1.0,{},0.3445,0.6417,0.7749,0.5642,0.3445,0.6417,0.7749,0.5642
25,3.418,29.0,inf,12374.8323,OK,5994.0636,0.0,5993.7936,387.15,0.0,321745.6351,10123.8047,263218.9219,25925.2468,17623.2388,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,661931.3661,0.005,0.01,3.4288,253.3746,6527.1132,256.8034,6626.8011,1.0,{},0.3444,0.6409,0.7579,0.5755,0.3444,0.6409,0.7579,0.5755
26,3.4047,29.0,inf,12374.8328,OK,5994.0633,0.0,5993.7936,387.15,0.0,334120.4679,10123.8047,273342.7266,25925.3517,17623.3436,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,687856.7178,0.005,0.01,3.394,253.3751,6780.4883,256.769,6883.5702,1.0,{},0.342,0.6411,0.7713,0.5747,0.342,0.6411,0.7713,0.5747
27,3.3761,29.0,inf,12374.8331,OK,5994.0627,0.0,5993.7936,387.15,0.0,346495.301,10123.8047,283466.5312,25925.4554,17623.4474,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,713782.1732,0.005,0.01,3.3879,253.3756,7033.8639,256.7635,7140.3336,1.0,{},0.3406,0.6406,0.7602,0.5791,0.3406,0.6406,0.7602,0.5791
28,3.3649,29.0,inf,12374.8335,OK,5994.0622,0.0,5993.7936,387.15,0.0,358870.1345,10123.8047,293590.3359,25925.5186,17623.5105,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,739707.6918,0.005,0.01,3.3703,253.3759,7287.2398,256.7462,7397.0799,1.0,{},0.3408,0.6398,0.7651,0.5745,0.3408,0.6398,0.7651,0.5745
29,3.3524,29.0,inf,12374.8342,OK,5994.0616,0.0,5993.7936,387.15,0.0,371244.9687,10123.8047,303714.1406,25925.5274,17623.5194,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,765633.2192,0.005,0.01,3.4056,253.376,7540.6158,256.7816,7653.8614,1.0,{},0.3398,0.6392,0.7701,0.5752,0.3398,0.6392,0.7701,0.5752
30,3.3809,29.0,inf,12374.8346,OK,5994.0609,0.0,5993.7936,387.15,0.0,383619.8033,10123.8047,313837.9453,25925.549,17623.5409,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,791558.7682,0.005,0.01,3.3342,253.3761,7793.9919,256.7103,7910.5717,1.0,{},0.3384,0.638,0.7641,0.5735,0.3384,0.638,0.7641,0.5735
31,3.3093,29.0,inf,12374.8348,OK,5994.0603,0.0,5993.7936,387.15,0.0,395994.6381,10123.8047,323961.75,25925.5431,17623.535,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,817484.3112,0.005,0.01,3.3244,253.3761,8047.3679,256.7004,8167.2721,1.0,{},0.3333,0.6318,0.7558,0.5752,0.3333,0.6318,0.7558,0.5752
32,3.3085,29.0,inf,12374.8359,OK,5994.0596,0.0,5993.7936,387.15,0.0,408369.4739,10123.8047,334085.5547,25925.5703,17623.5622,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,843409.8815,0.005,0.01,3.337,253.3762,8300.7441,256.7132,8423.9853,1.0,{},0.3347,0.6355,0.766,0.5767,0.3347,0.6355,0.766,0.5767
33,3.3179,29.0,inf,12374.8367,OK,5994.0591,0.0,5993.7936,387.15,0.0,420744.3107,10123.8047,344209.3594,25925.6233,17623.6153,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,869335.5048,0.005,0.01,3.3447,253.3765,8554.1206,256.7212,8680.7065,1.0,{},0.3323,0.6304,0.7696,0.5679,0.3323,0.6304,0.7696,0.5679
34,3.3243,29.0,inf,12374.8376,OK,5994.0584,0.0,5993.7936,387.15,0.0,433119.1483,10123.8047,354333.1641,25925.6697,17623.6617,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,895261.1746,0.005,0.01,3.3335,253.3767,8807.4974,256.7102,8937.4167,1.0,{},0.3309,0.6291,0.7716,0.5654,0.3309,0.6291,0.7716,0.5654
35,3.3143,29.0,inf,12374.8383,OK,5994.0579,0.0,5993.7936,387.15,0.0,445493.9866,10123.8047,364456.9688,25925.7238,17623.7158,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,921186.8984,0.005,0.01,3.3214,253.377,9060.8744,256.6984,9194.1151,1.0,{},0.3271,0.6271,0.7771,0.5674,0.3271,0.6271,0.7771,0.5674
36,3.3017,29.0,inf,12374.8388,OK,5994.0571,0.0,5993.7936,387.15,0.0,457868.8254,10123.8047,374580.7734,25925.7674,17623.7594,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,947112.6659,0.005,0.01,3.3436,253.3772,9314.2516,256.7209,9450.8359,1.0,{},0.328,0.629,0.7831,0.5638,0.328,0.629,0.7831,0.5638
37,3.3193,29.0,inf,12374.8392,OK,5994.0564,0.0,5993.7936,387.15,0.0,470243.6646,10123.8047,384704.5781,25925.8344,17623.8263,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,973038.5002,0.005,0.01,3.3443,253.3776,9567.6291,256.7219,9707.5578,1.0,{},0.3293,0.6287,0.7802,0.5647,0.3293,0.6287,0.7802,0.5647
38,3.3271,29.0,inf,12374.8396,OK,5994.0555,0.0,5993.7936,387.15,0.0,482618.5042,10123.8047,394828.3828,25925.8907,17623.8826,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,998964.3909,0.005,0.01,3.325,253.3778,9821.007,256.7029,9964.2607,1.0,{},0.3265,0.6253,0.7842,0.5585,0.3265,0.6253,0.7842,0.5585
39,3.3032,29.0,inf,12374.84,OK,5994.055,0.0,5993.7936,387.15,0.0,494993.3442,10123.8047,404952.1875,25925.981,17623.973,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,1024890.3719,0.005,0.01,3.3216,253.3783,10074.3853,256.6999,10220.9606,1.0,{},0.3251,0.6251,0.7782,0.5618,0.3251,0.6251,0.7782,0.5618
40,3.3011,29.0,inf,12374.8404,OK,5994.0545,0.0,5993.7936,387.15,0.0,507368.1842,10123.8047,415075.9922,25926.0713,17624.0634,0.0,7274.9078,2.317,0.0,2397.2317,2399.5487,1027.1003,0.0,1050816.3529,0.005,0.01,3.3182,253.3788,10327.7636,256.6969,10477.6605,1.0,{},0.3209,0.6228,0.7652,0.5622,0.3209,0.6228,0.7652,0.5622
